DataSourceName,DataSourceCode,StationID,ActualStationID,Latitude_DD,Longitude_DD,SampleDate,SampleTime,ActivityDepth,ActivityDepthUnit,Characteristic,ResultValue,ResultUnit,ValueQualifier,ResultComment,WBID,WBIDName,WaterbodyName,SampleDate_Date
SWFWMD Hydrologic Data Section Data,SWFWMD_HYDRO,25307,,27.99869444,-81.60741667,08/24/2026,08:47:00,,,"Elevation, water surface (NAVD88)",112.85,ft,,,1539,PEACE CREEK DRAINAGE CANAL,"Annie, Lake (160723)",8/24/2026 8:47:00 AM
SWFWMD Hydrologic Data Section Data,SWFWMD_HYDRO,25307,,27.99869444,-81.60741667,07/27/2026,11:57:00,,,"Elevation, water surface (NAVD88)",112.77,ft,,,1539,PEACE CREEK DRAINAGE CANAL,"Annie, Lake (160723)",7/27/2026 11:57:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Alkalinity, Total (total hydroxide+carbonate+bicarbonate)",30.10000000,mg/l CaCO3,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Chloride,33.00000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Chlorophyll a, corrected for pheophytin",5.36000000,ug/l,IJ,I=result is between MDL and PQL; J7=precision recovery outside acceptable limits,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Chlorophyll a, uncorrected for pheophytin",5.36000000,ug/l,I,I=result is between MDL and PQL,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Phosphorus, phosphate (PO4) as P",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Sulfur, sulfate (SO4) as SO4",39.20000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Total Suspended Solids (TSS),6.80000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,True Color,10.00000000,PCU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Turbidity,2.20000000,NTU,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Dissolved oxygen (DO),7.21000000,mg/l,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Dissolved oxygen saturation,97.50000000,percent (%),,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,pH,7.70000000,None,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Secchi disk depth,3.93696000,ft,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Specific conductance,267.30000000,umho,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Temperature, water",31.10000000,deg C,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Temperature, water",87.98000000,deg F,,,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,00:00:00,0.5,,Trophic State Index: Florida DEP,46.00000000,None,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,00:00:00,0.5,m,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.02000000,mg/l,,Water Institute Calculated,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,00:00:00,0.5,m,Nitrogen,0.98800000,mg/l,,Water Institute Calculated: TKN + NO3,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Nitrogen, ammonia as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Nitrogen, Nitrite (NO2) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Nitrogen, Nitrate (NO3) as N",0.01000000,mg/l,U,U=result is below MDL,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,"Nitrogen, Kjeldahl",0.97800000,mg/l,AJ,A=result is average of two readings; J6=matrix spike recovery outside acceptable limits; J7=precision recovery outside acceptable limits,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
Polk County Natural Resources Division,WIN_21FLPOLK,ANNIE1,,27.99233333,-81.60688889,07/13/2026,09:55:00.000000,0.5,m,Phosphorus as P,0.04000000,mg/l,IAJ,I=result is between MDL and PQL; A=result is average of two readings; J6=matrix spike recovery outside acceptable limits; J7=precision recovery outside acceptable limits,1539C,LAKE ANNIE,"Annie, Lake (160723)",7/13/2026 12:00:00 AM
